0,,Total fatalities,Total seriously injured persons,Total accidents,Fatal accidents,Aircraft-miles (millions),Rates per 100 million aircraft-miles,Fatalities,Seriously injured persons,Total accidents,"Total accidents, fatal",Aircraft departures (thousands),"Rates per 100,000 aircraft departures",Fatalities,Seriously injured persons,Total accidents,"Total accidents, fatal",Flight hours (thousands),"Rates per 100,000 flight hours",Fatalities,Seriously injured persons,Total accidents,"Total accidents, fatal"
2010,2010,2.0,17.0,30.0,1.0,7598.128,,0.026322273065154996,0.22373932105381747,0.39483409597732494,0.013161136532577498,9633.846,,0.020760140861707774,0.1764611973245161,0.31140211292561665,0.010380070430853887,17750.986,,0.011266979761011585,0.09576932796859848,0.16900469641517377,0.005633489880505793
2011,2011,0.0,21.0,33.0,0.0,7713.557,,0.0,0.27224793956925447,0.42781819075168565,0.0,9583.947,,0.0,0.21911640371133104,0.34432577726066305,0.0,17962.965,,0.0,0.11690720323732746,0.18371131937294316,0.0
2012,2012,0.0,18.0,27.0,0.0,7660.072,,0.0,0.23498473643589773,0.35247710465384663,0.0,9390.678,,0.0,0.19167945062113725,0.2875191759317059,0.0,17722.236,,0.0,0.10156731915769544,0.15235097873654316,0.0
2013,2013,9.0,8.0,22.0,2.0,7672.511158,,0.11730188219558142,0.1042683397294057,0.2867379342558657,0.026067084932351426,9401.896,,0.09572537283969106,0.0850892203019476,0.2339953558303559,0.0212723050754869,17779.641,,0.05061969473961819,0.04499528421299395,0.12373703158573336,0.011248821053248488
2014,2014,0.0,14.0,31.0,0.0,7690.949524,,0.0,0.18203213993684766,0.40307116700301987,0.0,9178.736,,0.0,0.1525264480860981,0.3377371350477887,0.0,17742.826,,0.0,0.07890513044539803,0.17471850312909565,0.0
2015,2015,0.0,23.0,28.0,0.0,7822.203105,,0.0,0.29403480951930616,0.3579554202843727,0.0,9107.171,,0.0,0.25254823918426483,0.3074500303112789,0.0,17925.78,,0.0,0.12830682960518316,0.1561996186497882,0.0
2016,2016,0.0,18.0,30.0,0.0,8016.961206,,0.0,0.22452397532532103,0.3742066255422017,0.0,9242.998,,0.0,0.19474200903213437,0.3245700150535573,0.0,18294.057,,0.0,0.09839260914077178,0.1639876819012863,0.0
2017,2017,0.0,19.0,33.0,0.0,8154.971756,,0.0,0.23298670514733294,0.40466111946642036,0.0,9274.238,,0.0,0.20486858327336435,0.35582438147479073,0.0,18581.388,,0.0,0.10225285646045387,0.17759706648394621,0.0
2018,2018,1.0,26.0,31.0,1.0,8473.725686,,0.011801184473698103,0.3068307963161506,0.3658367186846412,0.011801184473698103,9526.103,,0.010497472051267975,0.2729342733329673,0.3254216335893072,0.010497472051267975,19288.296,,0.005184491154635951,0.13479677002053472,0.1607192257937145,0.005184491154635951
2019,2019,4.0,18.0,40.0,2.0,8687.564745,,0.04604282232603954,0.20719270046717791,0.4604282232603954,0.02302141116301977,9751.448,,0.041019549096708505,0.18458797093518828,0.4101954909670851,0.020509774548354252,19786.547,,0.02021575568491056,0.09097090058209753,0.2021575568491056,0.01010787784245528
