Year 	Average Stock Price 	Year Open 	Year High 	Year Low 	Year Close 	Annual % Change
2021 	227.6232 	202.7200 	269.1900 	194.0300 	238.3800 	11.36%
2020 	197.0951 	333.3200 	347.4500 	95.0100 	214.0600 	-34.29%
2019 	365.0274 	323.8100 	440.6200 	310.9000 	325.7600 	1.01%
2018 	344.6941 	296.8400 	392.3000 	294.1600 	322.5000 	9.36%
2017 	215.2539 	156.9700 	297.9000 	156.9700 	294.9100 	89.43%
2016 	133.1115 	140.5000 	157.8100 	108.4400 	155.6800 	7.67%
2015 	143.5059 	129.9500 	158.3100 	125.4900 	144.5900 	11.24%
2014 	128.3622 	136.6700 	144.3700 	118.3400 	129.9800 	-4.77%
2013 	103.1096 	77.0700 	138.3600 	73.6500 	136.4900 	81.12%
2012 	73.2316 	74.2200 	77.2700 	67.2400 	75.3600 	2.74%
2011 	69.7214 	66.4000 	79.9500 	57.4100 	73.3500 	12.40%
2010 	66.0837 	56.1800 	75.5900 	56.1800 	65.2600 	20.56%
2009 	45.1234 	45.2500 	56.0500 	29.3600 	54.1300 	26.86%
2008 	66.4382 	86.6200 	87.0700 	37.1100 	42.6700 	-51.21%
2007 	94.5510 	89.1700 	107.2300 	85.4300 	87.4600 	-1.55%
2006 	79.9455 	70.4400 	91.1000 	66.5000 	88.8400 	26.48%
2005 	62.2871 	50.9700 	71.4900 	49.6400 	70.2400 	35.68%
2004 	47.6860 	41.9900 	55.2600 	38.6800 	51.7700 	22.85%
2003 	33.2674 	33.8800 	42.2800 	25.0600 	42.1400 	27.74%
2002 	39.7153 	38.1000 	50.8800 	28.9800 	32.9900 	-14.93%
2001 	51.8173 	62.0000 	68.7900 	29.7600 	38.7800 	-41.24%
2000 	48.4313 	40.1900 	69.9400 	32.3800 	66.0000 	59.27%
1999 	40.8490 	32.9400 	47.6300 	32.9400 	41.4400 	27.00%
1998 	43.2724 	48.8800 	56.0600 	30.8800 	32.6300 	-33.33%
1997 	52.7586 	51.9500 	60.0000 	43.0000 	48.9400 	-8.09%
1996 	43.9466 	39.9400 	53.3100 	37.4375 	53.2500 	35.88%
1995 	30.3381 	23.3750 	39.1900 	22.2500 	39.1900 	66.77%
1994 	22.6733 	21.8150 	24.9400 	21.2500 	23.5000 	8.67%
1993 	18.9991 	19.8150 	22.3150 	16.8150 	21.6250 	7.77%
1992 	20.7446 	23.6250 	27.1900 	16.8750 	20.0650 	-15.96%
1991 	23.6516 	22.4400 	26.1900 	20.6900 	23.8750 	5.22%
1990 	23.9947 	20.5000 	30.7500 	19.1267 	22.6900 	14.63%
1989 	17.0230 	13.2489 	20.5000 	13.0000 	19.7933 	46.93%
1988 	12.2211 	8.6111 	15.0000 	8.6111 	13.4711 	63.84%
1987 	10.4582 	11.5822 	12.0556 	7.6400 	8.2222 	-27.62%
1986 	12.2741 	11.6667 	14.3600 	10.2778 	11.3600 	-2.16%
1985 	9.9225 	8.0370 	11.6111 	8.0370 	11.6111 	38.40%
1984 	6.9779 	6.5185 	8.7407 	5.3333 	8.3896 	29.44%
1983 	5.9925 	4.9807 	7.0741 	4.9630 	6.4815 	29.13%
1982 	3.2029 	3.4444 	5.2222 	2.2785 	5.0193 	50.58%
1981 	4.4703 	6.4074 	6.5007 	3.2785 	3.3333 	-49.01%
1980 	5.6581 	4.9007 	6.7654 	4.8148 	6.5378 	30.77%
1979 	4.4361 	4.7486 	5.1937 	3.7531 	4.9995 	6.37%
1978 	3.4114 	1.8028 	4.9133 	1.6540 	4.6999 	153.84%
1977 	1.6741 	1.4650 	1.9710 	1.2550 	1.8515 	25.67%
