Year 	Average Stock Price 	Year Open 	Year High 	Year Low 	Year Close 	Annual % Change
2021 	152.0645 	153.2900 	161.5600 	140.4100 	154.9900 	0.27%
2020 	131.8411 	142.2400 	155.0900 	108.5000 	154.5700 	9.98%
2019 	128.5199 	116.2800 	145.0600 	114.6500 	140.5400 	21.07%
2018 	127.6552 	128.3700 	140.7200 	111.8100 	116.0800 	-8.72%
2017 	114.9167 	118.5500 	128.3200 	103.8200 	127.1700 	8.51%
2016 	111.0250 	121.4600 	123.0700 	98.2700 	117.2000 	-4.75%
2015 	130.0251 	125.6700 	145.3200 	113.3700 	123.0400 	-1.94%
2014 	116.2131 	120.6300 	129.0300 	103.3900 	125.4800 	2.92%
2013 	117.7869 	95.9900 	134.3300 	93.9300 	121.9200 	30.75%
2012 	79.8160 	67.7800 	93.2500 	67.6400 	93.2500 	41.01%
2011 	76.7043 	79.4300 	93.6800 	60.3900 	66.1300 	-15.90%
2010 	75.0675 	85.0800 	91.7800 	67.8400 	78.6300 	-6.57%
2009 	76.0503 	66.3700 	87.4300 	57.6800 	84.1600 	28.61%
2008 	90.4136 	106.4600 	116.0000 	58.1700 	65.4400 	-38.36%
2007 	121.0780 	135.3000 	137.7700 	105.1900 	106.1700 	-20.95%
2006 	110.6159 	106.8500 	134.3100 	95.5100 	134.3100 	28.38%
2005 	81.5158 	81.3800 	104.6200 	71.0500 	104.6200 	27.79%
2004 	74.4972 	68.9600 	82.8900 	64.6500 	81.8700 	19.08%
2003 	54.0656 	53.8100 	69.0500 	41.9600 	68.7500 	29.72%
2002 	52.3083 	51.2000 	59.9900 	46.2800 	53.0000 	4.00%
2001 	62.6022 	63.0800 	75.3000 	47.0000 	50.9600 	-19.05%
2000 	86.1414 	97.1200 	108.1200 	62.9500 	62.9500 	-35.36%
1999 	62.4633 	52.8800 	97.3800 	47.2500 	97.3800 	83.08%
1998 	50.5819 	57.5000 	58.7500 	40.9400 	53.1900 	-7.30%
1997 	56.3632 	57.2500 	64.5000 	49.8800 	57.3800 	-0.21%
1996 	47.4134 	42.5000 	57.6200 	41.2500 	57.5000 	36.09%
1995 	39.1344 	41.7500 	42.8800 	34.7500 	42.2500 	0.88%
1994 	40.3203 	32.0000 	44.8800 	31.7500 	41.8800 	30.88%
1993 	29.2703 	23.3800 	34.8800 	21.6200 	32.0000 	36.17%
1992 	22.5245 	24.1200 	24.7500 	18.8800 	23.5000 	-1.59%
1991 	24.8942 	25.6200 	28.5000 	21.5000 	23.8800 	-5.87%
1990 	29.7849 	35.0000 	35.6300 	25.0000 	25.3700 	-28.03%
1989 	37.4631 	40.6200 	41.2500 	34.3800 	35.2500 	-12.96%
1988 	37.2491 	29.5000 	44.8700 	28.0000 	40.5000 	41.51%
1987 	25.5484 	27.0000 	32.8700 	18.8700 	28.6200 	7.51%
1986 	18.7804 	12.2500 	28.8700 	12.0000 	26.6200 	121.83%
1985 	10.1322 	9.6300 	12.3700 	9.1200 	12.0000 	23.08%
1984 	11.3834 	13.2500 	13.5000 	9.7500 	9.7500 	-26.42%
1983 	10.2501 	9.8700 	13.2500 	8.3700 	13.2500 	35.90%
1982 	13.9397 	44.1300 	47.0000 	6.1200 	9.7500 	-77.39%
1981 	46.7065 	34.7500 	66.5000 	32.8700 	43.1300 	24.12%
1980 	33.1369 	32.6200 	40.2500 	28.7500 	34.7500 	13.49%
1979 	37.7057 	42.6200 	43.6300 	29.8700 	30.6200 	-28.16%
1978 	39.1827 	26.1300 	45.0000 	26.0000 	42.6200 	63.92%
1977 	32.0567 	34.2500 	37.6300 	25.7500 	26.0000 	-23.80%
